chr	start	end	Body_weight	bg_colour	bacteria_burden	bacteria_burden_1
1	3	3	0.43	bebada	0	1
2	3	3	0.36	bebada	0	1
3	3	3	0.4	bebada	0	1
4	3	3	0.61	bebada	0	1
5	3	3	0.39	bebada	0	1
6	3	3	0.27	bebada	0	1
7	3	3	0.29	bebada	0	1
8	3	3	0.35	bebada	0	1
9	3	3	0.49	ffffb3	0	1
10	3	3	0.38	ffffb3	0	1
11	3	3	0.38	ffffb3	0	1
12	3	3	0.48	ffffb3	0	1
13	3	3	0.26	ffffb3	0	1
14	3	3	0.51	ffffb3	0	1
15	3	3	0.48	ffffb3	0	1
16	3	3	0.43	ffffb3	0	1
17	3	3	2.44	8dd3c7	3200000	3200000
18	3	3	1.25	8dd3c7	2330000	2330000
19	3	3	1	8dd3c7	115000	115000
20	3	3	1.09	8dd3c7	27400	27400
21	3	3	0.33	8dd3c7	120000	120000
22	3	3	0.96	8dd3c7	2170000	2170000
23	3	3	1.59	8dd3c7	555000	555000
24	3	3	0.8	fb8072	0	1
25	3	3	0.74	fb8072	0	1
26	3	3	0.51	fb8072	6530	6530
27	3	3	0.73	fb8072	0	1
28	3	3	0.39	fb8072	15100	15100
29	3	3	0.94	fb8072	0	1
30	3	3	0.48	fb8072	0	1
31	3	3	0.64	fb8072	15100	15100
