chr	start	end	value1	value2	value3	value4	value5	value6
1	1	2	1.863157419	1.211956768	1.336363636	15.4040404	0.207070707	16.16377161
2	1	2	2.261123268	1.148796499	1.268686869	16.79494949	0.640466551	10.24755501
3	1	2	2.486028136	2.518147363	2.265656566	20.48686869	0.481818182	16.84427366
4	1	2	2.628994049	1.664066563	2.755555556	19.34747475	0.322222222	17.43974359
5	1	2	1.517661519	0.935178753	1.144295547	21.36950653	0.294949495	11.15384615
6	1	2	1.131017916	0.95085577	1.788729181	26.18754278	0.355555556	10.43833274
7	1	2	1.328253707	0.973023064	2.304450742	19.34316254	0.506982353	10.54487179
8	1	2	1.26698996	0.744484666	2.123232323	15.77777778	0.648484848	9.773076923
9	1	2	1.235044384	1.099961405	1.627272727	15.76666667	0.251515152	11.8876695
10	1	2	0.929123499	0.794825412	0.964646465	12.41616162	0.186868687	14.23804519
11	1	2	1.021592228	0.891902346	1.165656566	15.57777778	0.252525253	12.51540933
12	1	2	0.869565217	0.880105402	0.948484848	11.18787879	0.154545455	14.39644186
13	1	2	0.80711324	0.689594004	1.789507484	20.87141234	0.22020202	11.15641026
14	1	2	0.858698296	0.28249116	1.162472071	19.61658446	0.164646465	12.38205128
15	1	2	1.6523126	0.456140351	1.30013492	15.62921624	0.294949495	10.35223697
16	1	2	0.697593303	0.535878492	1.432765873	15.41881934	0.201010101	14.66098141
17	1	2	1.05797842	0.568062276	1.841977046	18.06788653	0.23030303	1.3228903
18	1	2	1.114308135	0.920742872	1.602020202	14.05353535	0.184393778	4.713882771
19	1	2	1.223418861	0.735271684	1.249494949	15.87272727	0.174747475	2.364353368
20	1	2	0.829767077	0.6762275	1.587878788	20.47171717	0.224242424	3.693589744
21	1	2	0.583975111	0.354465242	1.093936614	17.26758174	0.177777778	10.92307692
22	1	2	0.742329264	0.534064665	1.195139765	20.28085784	0.274747475	2.212820513
23	1	2	0.579286449	0.590114233	1.255159429	17.2777523	0.215151515	2.817948718
24	1	2	2.026794916	1.316844154	2.749494949	27.65353535	0.329292929	11.51794872
25	1	2	1.793202384	0.457956301	1.945454545	22.52323232	0.496969697	13.51666667
26	1	2	1.404091154	0.708774448	2.304040404	22.12525253	0.355555556	9.05
27	1	2	1.672356258	1.557285873	1.53030303	20.21212121	0.413849204	12.21666667
28	1	2	1.445017228	1.250033388	2.539868611	30.87283562	0.283838384	7.594871795
29	1	2	1.817476231	0.685596016	1.924242424	16.95555556	0.628282828	7.765384615
30	1	2	1.713579716	1.138805329	3.095713968	18.589829	0.368686869	14.03076923
31	1	2	1.868424648	1.233091952	2.161936843	19.97679213	0.241866058	13.75897436
