chr	start	end	value1	value2	value3	value4	value5	value6	value7	value8	value9	value10
1	1	2	0.387143901	2.483564646	0.292404393	0.361476297	0.112820513	0.25	0.338383838	0.302936565	0.163532298	0.073737374
2	1	2	0.474733113	1.469985782	0.511894899	0.497100249	0.176923077	0.279487179	0.342363217	0.242452791	0.129889976	0.101010101
3	1	2	0.602923072	2.550585561	0.636797298	0.545500194	0.212820513	0.3	0.455555556	0.335353535	0.231087166	0.087878788
4	1	2	0.504173118	2.065787983	0.538707531	0.3755929	0.13974359	0.228205128	0.28989899	0.208080808	0.266666667	0.117171717
5	1	2	0.342497454	0.8261594	0.295345357	0.236276286	0.233333333	0.626923077	0.135353535	0.180808081	0.144871795	0.176767677
6	1	2	0.400440754	0.954070252	0.316397484	0.51138663	0.256685364	0.805367305	0.128282828	0.185858586	0.15034068	0.15959596
7	1	2	0.498869089	1.141480119	0.207145607	0.258473722	0.330291474	0.498842277	0.081687694	0.184848485	0.075641026	0.158585859
8	1	2	0.319230769	1.126923077	0.379487179	0.138461538	0.496153846	0.748717949	0.105050505	0.129842486	0.315384615	0.197979798
9	1	2	1.062365591	3.901075269	0.909014108	0.979978035	0.408974359	0.370512821	0.406060606	0.354544073	0.162279616	0.122222222
10	1	2	1.031408038	3.009937006	0.61539837	0.682451461	0.337179487	0.361538462	0.378787879	0.296969697	0.199684708	0.150505051
11	1	2	0.950047801	3.907743786	1.366877678	0.807969994	0.466666667	0.358974359	0.429292929	0.337373737	0.163692581	0.076767677
12	1	2	1.112276063	3.013174089	0.578367335	0.664690818	0.230769231	0.274358974	0.391919192	0.363628851	0.21328062	0.191919192
13	1	2	1.219243943	3.594884203	1.165211096	0.314493869	0.661595613	1.125066336	0.097979798	0.160606061	0.293589744	0.247474747
14	1	2	1.39807883	2.760832054	0.503578055	0.320088075	0.678205128	0.880769231	0.077777778	0.13030303	0.244871795	0.219191919
15	1	2	0.862820513	3.273076923	0.57217997	0.540194754	0.458974359	0.830769231	0.208080808	0.355949909	0.052183255	0.158757158
16	1	2	1.259009214	2.08010218	0.210635658	0.470323456	0.423076923	0.791025641	0.146464646	0.326028082	0.11603523	0.13030303
17	1	2	0.653774059	3.88378366	0.731356928	0.619414541	0.605128205	0.471794872	0.377777778	2.027094832	1.786140694	1.599928266
18	1	2	0.793889199	3.420160494	0.769230769	0.637179487	0.477259207	0.470499162	0.431698375	1.551954852	3.049856394	0.702947846
19	1	2	0.847616547	2.660990886	0.805505765	0.444798513	0.597435897	0.406410256	0.242424242	0.807130288	2.529840499	0.565255096
20	1	2	1.166603126	3.49599695	0.720386785	0.804190169	0.453846154	0.482051282	0.450505051	1.212121212	3.256410256	0.672727273
21	1	2	1.135817085	2.32343039	0.456014254	0.410714825	0.38974359	0.853846154	0.150505051	0.281818182	0.230769231	0.175757576
22	1	2	1.328302828	2.754825232	0.387969732	0.641272284	0.408562795	1.173199416	0.218181818	1.657933736	2.283333333	0.880129241
23	1	2	0.957134469	2.03758074	0.481518848	0.898835183	0.412730055	0.861960047	0.203030303	1.340708231	1.465384615	0.303030303
24	1	2	0.533817775	2.350475126	0.607668194	0.520858452	0.270512821	0.296153846	0.442424242	0.587878788	0.535897436	0.273737374
25	1	2	0.469645511	3.136276799	0.497435897	0.192307692	0.469230769	0.570512821	0.182828283	0.271717172	0.692307692	0.132323232
26	1	2	0.522634494	3.229413141	0.584615385	0.171794872	0.302564103	0.406410256	0.126262626	0.17979798	1.058974359	0.122222222
27	1	2	0.804564073	2.801345816	0.368959771	0.264222804	0.170512821	0.185897436	0.482993543	0.349494949	0.346153846	0.090909091
28	1	2	0.397659064	0.992271909	0.386307904	0.359434311	0.317948718	0.569230769	0.128282828	0.33030303	0.148717949	0.138383838
29	1	2	0.417068604	1.282415026	0.275325825	0.132820499	0.365384615	0.852564103	0.11010101	0.367676768	1.132051282	0.339393939
30	1	2	0.251120704	0.811472688	0.307843312	0.312304809	0.2787068	0.645426275	0.124242424	0.304040404	0.124358974	0.13030303
31	1	2	0.448717949	0.935897436	0.199479254	0.251973795	0.172021089	0.605259386	0.195405911	0.698989899	0.4	0.441414141
